class, subclass, source, intuition, cite, title, authors, venue, year, doi, selected projects, notes
"DOMAIN", "", "website", "??", "Jia:2020:MSR", "From Innovations to Prospects: What Is Hidden Behind Cryptocurrencies?", "Ang Jia and Ming Fan and Xi Xu and Di Cui and Wenying Wei and Zijiang Yang and Kai Ye and Ting Liu", "MSR", "2020", "10.1145/3379597.3387439", 1698, "1698 projects for cryptocurrency implementations."
"EVERYTHING", "", "organization", "??", "Haque:2020:MSR", "Improved Automatic Summarization of Subroutines via Attention to File Context", "Sakib Haque and Alexander LeClair and Lingfei Wu and Collin McMillan", "MSR", "2020", "10.1145/3379597.3387449", 4600, "~4600 projects from apache SF containing source code"
"EVERYTHING", "", "collection of organizations", "??", "Spadini:2020:MSR", "Investigating Severity Thresholds for Test Smells", "Davide Spadini and Martin Schvarcbacher and Ana Maria Oprescu and Magiel Bruntink and Alberto Bacchelli", "MSR", "2020", "10.1145/3379597.3387453", 1489, "1489 projects from apache sf and Eclipse foundation
Diversity of size and scope."
"INCOMPATIBLE", "", "", "??", "Fang:2020:MSR", "Need for tweet. How open-source developers use Twitter to talk about their GitHub work", "Hongbo Fang and Daniel Klug and Hemank Lamba and James Herbsleb and Bogdan Vasilescu", "MSR", "2020", "10.1145/3379597.3387466", , "Tweets that by users who have GitHub links in their bios."
"DOMAIN", "", "GitHub Search", "??", "Muse:2020:MSR", "On the Prevalence, Impact, and Evolution of SQL code smells in Data-Intensive Systems", "Biruk Asmare Muse and Masud Rahman and Csaba Nagy and Anthony Cleve and Foutse Khomh and Giuliano Antoniol", "MSR", "2020", "10.1145/3379597.3387467", 150, "150 projects.
tags: android, app, hibernate, JPA, Java. Code cotnains SQL. Contain one of top 50 keywords in the dataset. At least 10 db queries."
"INCOMPATIBLE", "", "", "??", "Zarif:2020:MSR", "On the Relationship between User Churn and Software Issues", "Omar El Zarif and Daniel Alencar Da Costa and Safwat Hassan and Ying Zou", "MSR", "2020", "10.1145/3379597.3387456", , "software recommendations on altenrativeto.net"
"INCOMPATIBLE", "", "", "??", "Minh:2020:MSR", "PUMiner: Mining Security Posts from Developer Question and Answer Websites with PU Learning", "Triet Le Huynh Minh and David Hin and Roland Croft and Muhammad Ali Babar", "MSR", "2020", "10.1145/3379597.3387443", , "stack overflow posts"
"INCOMPATIBLE", "", "", "??", "Yang:2020:MSR", "Painting Flowers: Reasons for Using Single-State State Machines in Model-Driven Engineering", "Nan Yang and Pieter Cuijpers and Ramon Schiffelers and Johan Lukkien and Alexander Serebrenik", "MSR", "2020", "10.1145/3379597.3387452", , "semiconductor devices, i think"
"TOOL", "", "", "??", "Barmpis:2020:MSR", "Polyglot and Distributed Software Repository Mining with CROSSFLOW", "Konstantinos Barmpis and Patrick Neubauer and Jonathan Co and Dimitris Kolovos and Nicholas Matragkas and Richard Paige", "MSR", "2020", "10.1145/3379597.3387481", , "A tool for mining repositories"
"CURATED", "", "", "??", "Mattis:2020:MSR", "RTPTorrent: An Open-source Dataset for Evaluating Regression Test Prioritization", "Toni Mattis and Patrick Rein and Falco Dürsch and Robert Hirschfeld", "MSR", "2020", "10.1145/3379597.3387458", 20, "20 java projects
Java, many logged failures, 
Java: avaiability of tooling, diverse sizes, maturoituy and GH community"
"CURATED", "", "", "??", "Singh:2020:MSR", "SoftMon: A Tool to Compare Similar Open-source Software from a Performance Perspective", "Shubhankar Suman Singh and Smruti Ranjan Sarangi", "MSR", "2020", "10.1145/3379597.3387444", 15, "15 proejcts"
"CASE", "", "", "??", "Walden:2020:MSR", "The Impact of a Major Security Event on an Open Source Project: The Case of OpenSSL", "James Walden", "MSR", "2020", "10.1145/3379597.3387465", , "just openssl"
"STARS", "THRESHOLD", "GitHub Search", "??", "Jebnoun:2020:MSR", "The Scent of Deep Learning Code: An Empirical Study", "Hadhemi Jebnoun and Masud Rahman and Foutse Khomh and Houssem Ben Braiek ", "MSR", "2020", "10.1145/3379597.3387479", 118, "2 x 59 projects from GitHub API
DL subset: Deep learning keywords, 57+ commits, Python, 
manually remove tutorials, immature projects, unpopular projects (issue count, commit count, contributor count, forks, stars), 4+ releases
Trad subset: 1000+ stars, 
remove dead projects, random sleection 59"
"STARS", "THRESHOLD", "GitHub API", "??", "Gonzalez:2020:MSR", "The State of the ML-universe: 10 Years of Artificial Intelligence & Machine Learning Software Development on GitHub", "Danielle Gonzalez and Thomas Zimmermann and Nachiappan Nagappan", "MSR", "2020", "10.1145/3379597.3387473", 9325, "5,224 AI\ML and 4,101 application projects
AI\ML subset: search by tags, manual filtering to remove coding challenges, resource storage, etc.
application subset: 10000 projects from 2019, most starred, not containg relevant tags;
>0KB, 5+ stars or forks, last commit within 2019, available, manual filtering            
Filtering big space."
"STARS", "TOP", "collection of organizations", "??", "Liu:2020:MSR", "Traceability Support for Multi-Lingual Software Projects", "Yalin Liu and Jinfeng Lin and Jane Cleland-Huang", "MSR", "2020", "10.1145/3379597.3387440", 17, "17 projects
projects belonging to Alibaba, Tencent, Meitaun, JD, Baidu, NetEase and XiaoMi
40+ issues, 40+ commits, 1%+ foreign terms in vocabulary
(sorted by stars)
commits tagged with issue IDs, diversity in size of link between issues and commits"
"DOMAIN", "", "GitHub", "??", "Bryksin:2020:MSR", "Using Large-Scale Anomaly Detection on Code to Improve Kotlin Compiler", "Timofey Bryksin and Victor Petukhov and Ilya Alexin and Stanislav Prikhodko and Alexey Shpilman and Vladimir Kovalenko and Nikita Povarov", "MSR", "2020", "10.1145/3379597.3387447", 47700, "47.7K projects
kotlin repositories created before march 2018, not forks"
"FILTER ", "50+ commits", "website", "??", "Mujahid:2020:MSR", "Using Others' Tests to Avoid Breaking Updates", "Suhaib Mujahid and Rabe Abdalkareem and Emad Shihab and Shane McIntosh", "MSR", "2020", "10.1145/3379597.3387476", 290000, "290K packages
npm packages with GH repositories
2+ commits touching package.json"
"TOOL", "", "", "??", "Svitkov:2020:MSR", "Visualization of Methods Changeability Based on VCS Data", "Sergey Svitkov and Timofey Bryksin", "MSR", "2020", "10.1145/3379597.3387451", , "tool"
"STARS", "TOP", "GitHub API", "??", "Pfeiffer:2020:MSR", "What constitutes Software? An Empirical, Descriptive Study of Artifacts", "Rolf-Helge Pfeiffer", "MSR", "2020", "10.1145/3379597.3387442", 32718, "32,718 projects
1020 top-starred projects in a given language from 25 hand-picked languages
deduplicated (presumably by URL) yielding a dataset of unique repositories"
"CURATED", "", "", "??", "Pinto:2020:MSR", "What is the Vocabulary of Flaky Tests?", "Gustavo Pinto and Breno Miranda and Supun Dissanayake and Marcelo d'Amorim and Christoph Treude and Antonia Bertolino", "MSR", "2020", "10.1145/3379597.3387482", 25, "25 projects
deflaker benchmark"
"DOMAIN", "", "GitHub API", "??", "Pimentel:2019:MSR", "A Large-scale Study about Quality and Reproducibility of Jupyter Notebooks", "João Felipe Pimentel and Leonardo Murta and Vanessa Braganholo and Juliana Freire", "MSR", "2019", "10.1109/MSR.2019.00077", 265000, "265K projects
Created between 1 Jan 2013 and 15 Apr 2018, contains 1+ file whose language is ""Jupyter notebook""."
"TOOL", "", "", "??", "Zerouali:2019:MSR", "ConPan: A Tool to Analyze Packages in Software Containers", "Ahmed Zerouali and Valerio Cosentino and Jesus M. Gonzalez-Barahona and Gregorio Robles and Tom Mens", "MSR", "2019", "10.1109/MSR.2019.00089", , "a tool working on docker images"
"FILTER ", "diverse forks and age ", "GitHub API", "??", "Zhu:2019:MSR", "An Empirical Study of Multiple Names and Email Addresses in OSS Version Control Repositories", "Jiaxin Zhu and Jun Wei", "MSR", "2019", "10.1109/MSR.2019.00068", 255, "46 + 19 + 16 + 16 + 158 repositories 
3 age intervals (creation date: 1- years, 5 years, 10 years),
3 popularity intevals (forks: 10-, 100-200, 1000+),
50 project from each combination o age/popularity
not forks
last push after 1 jun 2018"
"DOMAIN", "", "GitHub", "??", "Bleser:2019:MSR", "Assessing Diffusion and Perception of Test Smells in Scala Projects", "Jonas De Bleser and Dario Di Nucci and Coen De Roover", "MSR", "2019", "10.1109/MSR.2019.00072", 164, "164 projects
created between Jan 2010 and July 2018
remove projects without tests and sbt and do not compile
keep projects that use ScaltaTest and have 1+ KLOC"
"INCOMPATIBLE", "", "", "??", "Minh:2019:MSR", "Automated Software Vulnerability Assessment with Concept Drift", "Triet Le Huynh Minh and Bushra Sabir and Muhammad Ali Babar", "MSR", "2019", "10.1109/MSR.2019.00063", , "Analyzes software vulnerabilites"
"RANDOM SAMPLE", "", "RepoReaper", "??", "Alqaimi:2019:MSR", "Automatically Generating Documentation for Lambda Expressions in Java", "Anwar Alqaimi and Patanamon Thongtanunam and Christoph Treude", "MSR", "2019", "10.1109/MSR.2019.00057", 51392, "51,392 repositories
Random forest claffification by RepoReaper
1+ lambda expression
random sample 400 at a time and filter"
"CURATED", "", "", "??", "Matsumoto:2019:MSR", "Beyond GumTree: A hybrid approach to generate edit scripts", "Junnosuke Matsumoto and Yoshiki Higo and Shinji Kusumoto", "MSR", "2019", "10.1109/MSR.2019.00082", 7, "7 projects
""some Java OSS"""
